# Filename: links.txt
# Author: Miles Clikeman
#
# Output on the diameter of reduced link diagrams with up to eleven crossings.
#
# Ex. The first output line 21 = 1 means the two-component link diagram with 2 crossings and id 1 has diameter equal to 1

Two components:
21 = 1
41 = 2
51 = 3
61 = 3
62 = 4
63 = 3
71 = 4
72 = 3
73 = 4
74 = 4
75 = 4
76 = 3
81 = 4
82 = 4
83 = 4
84 = 4
85 = 4
86 = 4
87 = 4
88 = 4
89 = 4
810 = 5
811 = 4
812 = 4
813 = 4
814 = 4
91 = 5
92 = 5
93 = 5
94 = 5
95 = 5
96 = 4
97 = 4
98 = 5
99 = 5
910 = 5
911 = 5
912 = 4
913 = 4
914 = 5
915 = 5
916 = 4
917 = 5
918 = 5
919 = 4
920 = 4
921 = 4
922 = 5
923 = 5
924 = 5
925 = 5
926 = 4
927 = 5
928 = 4
929 = 4
930 = 4
931 = 5
932 = 4
933 = 4
934 = 4
935 = 5
936 = 5
937 = 4
938 = 4
939 = 5
940 = 5
941 = 5
942 = 4
101 = 6
102 = 5
103 = 5
104 = 5
105 = 5
106 = 6
107 = 5
108 = 5
109 = 5
1010 = 5
1011 = 5
1012 = 5
1013 = 5
1014 = 5
1015 = 5
1016 = 5
1017 = 5
1018 = 5
1019 = 5
1020 = 5
1021 = 5
1022 = 5
1023 = 5
1024 = 5
1025 = 5
1026 = 5
1027 = 5
1028 = 5
1029 = 5
1030 = 5
1031 = 5
1032 = 5
1033 = 5
1034 = 5
1035 = 5
1036 = 5
1037 = 5
1038 = 5
1039 = 5
1040 = 5
1041 = 5
1042 = 5
1043 = 5
1044 = 5
1045 = 5
1046 = 5
1047 = 5
1048 = 5
1049 = 5
1050 = 5
1051 = 5
1052 = 5
1053 = 5
1054 = 5
1055 = 5
1056 = 5
1057 = 6
1058 = 6
1059 = 5
1060 = 5
1061 = 6
1062 = 5
1063 = 5
1064 = 5
1065 = 5
1066 = 5
1067 = 5
1068 = 5
1069 = 6
1070 = 5
1071 = 5
1072 = 6
1073 = 6
1074 = 5
1075 = 5
1076 = 5
1077 = 5
1078 = 6
1079 = 5
1080 = 5
1081 = 6
1082 = 5
1083 = 6
1084 = 5
1085 = 6
1086 = 6
1087 = 5
1088 = 5
1089 = 6
1090 = 5
1091 = 5
1092 = 5
1093 = 5
1094 = 5
1095 = 5
1096 = 5
1097 = 5
1098 = 5
1099 = 6
10100 = 5
10101 = 5
10102 = 5
10103 = 5
10104 = 5
10105 = 5
10106 = 5
10107 = 5
10108 = 5
10109 = 5
10110 = 6
10111 = 5
10112 = 5
10113 = 6
10114 = 6
10115 = 5
10116 = 5
10117 = 6
10118 = 5
10119 = 6
10120 = 5
10121 = 5

Three components:
64 = 2
65 = 2
77 = 3
815 = 3
816 = 3
817 = 3
818 = 3
819 = 3
820 = 4
943 = 3
944 = 4
945 = 4
946 = 4
947 = 4
948 = 4
949 = 4
950 = 4
951 = 4
952 = 5
953 = 5
954 = 4
10122 = 4
10123 = 4
10124 = 4
10125 = 4
10126 = 4
10127 = 4
10128 = 4
10129 = 4
10130 = 4
10131 = 4
10132 = 4
10133 = 4
10134 = 4
10135 = 4
10136 = 5
10137 = 5
10138 = 4
10139 = 5
10140 = 5
10141 = 5
10142 = 4
10143 = 4
10144 = 4
10145 = 4
10146 = 4
10147 = 4
10148 = 4
10149 = 6
10150 = 5
10151 = 5
10152 = 5
10153 = 4
10154 = 4
10155 = 5
10156 = 4
10157 = 4
10158 = 4
10159 = 4
10160 = 4
10161 = 4
10162 = 4
10163 = 4
10164 = 4

Four components:
821 = 3
955 = 3
10165 = 4
10166 = 4
10167 = 4
10168 = 4
10169 = 4
10170 = 3
10171 = 4
10172 = 4
10173 = 4
11531 = 4
11532 = 4
11533 = 4
11534 = 4
11535 = 4
11536 = 4
11537 = 4
11538 = 5
11539 = 4
11540 = 4
11541 = 5
11542 = 4
11543 = 4
11544 = 4
11545 = 4
11546 = 4
11547 = 4

Nonalternating (4-component)
1096 = 4
1097 = 4
1098 = 4
1099 = 4
10100 = 4
10101 = 4
10102 = 4
10103 = 4
10104 = 4
10105 = 4
10106 = 4
10107 = 4
10108 = 3
10109 = 3
10110 = 4
10111 = 4
11438 = 4
11439 = 4
11440 = 4
11441 = 4
11442 = 4
11443 = 4
11444 = 4
11445 = 5
11446 = 5
11447 = 5
11448 = 4
11449 = 4
11450 = 5
11451 = 5
11452 = 5
11453 = 4
11454 = 4
11455 = 4
11456 = 4
11457 = 4
11458 = 4
11459 = 4

